Oslo,Trondheim,Bergen,Kristiansand,Tromsø,Stockholm,Malmö,Finland,Denmark,France
39 - 22,243.37,61.11,243.56,243.37,31.9,106.25,106.25,241.46,265.67,307.42
40 - 22,93,24.83,93,93.23,19.97,59.64,59.64,79.97,98.73,245.38
41 - 22,167.02,15.91,167.02,168.81,14.57,62.58,62.58,69.8,205.99,224.31
42 - 22,139.61,45.65,139.61,139.61,18.73,96.55,96.55,137.61,146.16,148.9
43 - 22,104.72,41.12,104.72,104.28,20.45,67.82,67.83,120.81,107.17,107.74
44 - 22,73.53,31.55,73.53,73.71,18.3,55.03,67.7,111.02,84.9,129.73
